array_element_name	array_element_type	organism	is_control	locus	description	chromosome	start	stop
245051_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23320	WRKY15; calmodulin binding / transcription factor	2	9925366	9926144
245052_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26440	pectinesterase family protein	2	11248820	11249397
245053_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26450	pectinesterase family protein	2	11252850	11253433
245054_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26460	RED family protein	2	11255062	11255710
245055_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26470	unknown protein	2	11259331	11259821
245056_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26480	UGT76D1 (UDP-GLUCOSYL TRANSFERASE 76D1); UDP-glycosyltransferase/ quercetin 7-O-glucosyltransferase/ transferase, transferring glycosyl groups	2	11265010	11265530
245057_at	oligonucleotide	Arabidopsis thaliana	no	AT2G26490	transducin family protein / WD-40 repeat family protein	2	11268917	11269430
245058_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39790	mitochondrial glycoprotein family protein / MAM33 family protein	2	16594969	16595707
245059_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39720	RHC2A; protein binding / zinc ion binding	2	16567543	16568073
245060_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39770	CYT1 (CYTOKINESIS DEFECTIVE 1); mannose-1-phosphate guanylyltransferase/ nucleotidyltransferase	2	16590180	16590607
245061_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39730	RCA (RUBISCO ACTIVASE); ADP binding / ATP binding / enzyme regulator/ ribulose-1,5-bisphosphate carboxylase/oxygenase activator	2	16571007	16571750
245062_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39760	BPM3; protein binding	2	16584338	16585829
245063_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39795	mitochondrial glycoprotein family protein / MAM33 family protein	2	16597202	16597967
245064_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39725	complex 1 family protein / LVR family protein	2	16570073	16570330
245065_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39750	dehydration-responsive family protein	2	16578992	16579973
245066_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39840	TOPP4; protein serine/threonine phosphatase	2	16628233	16628736
245067_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39780	RNS2 (RIBONUCLEASE 2); RNA binding / endoribonuclease/ ribonuclease T2	2	16591660	16593345
245068_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23260	UGT84B1 (UDP-glucosyl transferase 84B1); UDP-glycosyltransferase/ abscisic acid glucosyltransferase/ indole-3-acetate beta-glucosyltransferase/ quercetin 7-O-glucosyltransferase/ transferase, transferring glycosyl groups	2	9900082	9900622
245069_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23250	UGT84B2 (UDP-glucosyl transferase 84B2); UDP-glycosyltransferase/ abscisic acid glucosyltransferase/ transferase, transferring glycosyl groups	2	9897840	9898279
245070_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23240	plant EC metallothionein-like family 15 protein	2	9896014	9896307
245071_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23230	terpene synthase/cyclase family protein	2	9894825	9895382
245072_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23220;AT2G23190	[AT2G23220, CYP81D6; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding];[AT2G23190, CYP81D7; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding]	[AT2G23220, 2];[AT2G23190, 2]	[AT2G23220, 9886252];[AT2G23190, 9878510]	[AT2G23220, 9886716];[AT2G23190, 9878971]
245073_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23210	UDP-glycosyltransferase/ transferase, transferring glycosyl groups	2	9882046	9882389
245074_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23200	protein kinase family protein	2	9881318	9881834
245075_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23180	CYP96A1; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding	2	9875951	9876337
245076_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23170	GH3.3; indole-3-acetic acid amido synthetase	2	9864125	9864718
245077_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23160	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; CONTAINS InterPro DOMAIN/s: Cyclin-like F-box (InterPro:IPR001810), F-box associated type 3 (InterPro:IPR013187), F-box associated type 1 (InterPro:IPR017451); BEST Arabidopsis thaliana protein match is: F-box family protein (TAIR:AT2G16450.1); Has 750 Blast hits to 732 proteins in 29 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 750; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	2	9863118	9863681
245078_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23340	AP2 domain-containing transcription factor, putative	2	9938187	9938650
245079_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23330	transposable element gene	2	9927907	9928416
245080_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23300	leucine-rich repeat transmembrane protein kinase, putative	2	9916607	9917115
245082_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23270	unknown protein	2	9903358	9903563
245083_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23310	ATRER1C1	2	9917710	9918757
245084_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23290	AtMYB70 (myb domain protein 70); DNA binding / transcription factor	2	9904959	9905456
245085_at	oligonucleotide	Arabidopsis thaliana	no	AT2G23350	PAB4 (POLY(A) BINDING PROTEIN 4); RNA binding / translation initiation factor	2	9945266	9945911
245086_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39820	eukaryotic translation initiation factor 6, putative / eIF-6, putative	2	16618864	16619558
245087_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39830	DAR2 (DA1-RELATED PROTEIN 2); zinc ion binding	2	16619969	16621218
245088_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39850	identical protein binding / serine-type endopeptidase	2	16633425	16634064
245089_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45290	transketolase, putative	2	18675022	18675587
245090_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40900	nodulin MtN21 family protein	2	17063398	17064170
245091_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40910	F-box protein-related	2	17069944	17070517
245092_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40950	BZIP17; DNA binding / transcription activator/ transcription factor	2	17087831	17088760
245093_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40815	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: C2 calcium-dependent membrane targeting (InterPro:IPR000008).	2	17034784	17035316
245094_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40840	DPE2 (DISPROPORTIONATING ENZYME 2); 4-alpha-glucanotransferase/ heteroglycan binding	2	17049948	17050715
245095_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40860	protein kinase family protein / protein phosphatase 2C ( PP2C) family protein	2	17056037	17056881
245096_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40880	ATCYSA (CYSTATIN A); cysteine-type endopeptidase inhibitor	2	17057473	17057924
245097_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40935	unknown protein	2	17083209	17084206
245098_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40940	ERS1 (ETHYLENE RESPONSE SENSOR 1); ethylene binding / protein histidine kinase/ receptor	2	17084664	17085482
245099_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40830	RHC1A; protein binding / zinc ion binding	2	17044035	17044628
245100_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40930	UBP5 (UBIQUITIN-SPECIFIC PROTEASE 5); ubiquitin-specific protease	2	17076748	17077548
245101_at	oligonucleotide	Arabidopsis thaliana	no	AT2G40890	CYP98A3 (cytochrome P450, family 98, subfamily A, polypeptide 3); monooxygenase/ p-coumarate 3-hydroxylase	2	17058309	17058826
245102_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41580	transposable element gene	2	17342492	17343041
245103_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41590	unknown protein	2	17344107	17344588
245104_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41600	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrial matrix; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Mitochondrial glycoprotein (InterPro:IPR003428); Has 20 Blast hits to 20 proteins in 3 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 20; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	2	17346040	17346690
245105_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41610	unknown protein	2	17347537	17347993
245106_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41650	unknown protein	2	17363938	17364219
245107_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41690	AT-HSFB3; DNA binding / transcription factor	2	17381863	17382400
245108_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41510	CKX1 (CYTOKININ OXIDASE/DEHYDROGENASE 1); cytokinin dehydrogenase	2	17316178	17316850
245109_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41520	DNAJ heat shock N-terminal domain-containing protein	2	17321257	17322401
245110_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41550	transcription termination factor	2	17329103	17329661
245111_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41570	transposable element gene	2	17338394	17338843
245112_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41540	GPDHC1; NAD or NADH binding / glycerol-3-phosphate dehydrogenase (NAD+)	2	17327756	17328635
245113_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41660	MIZ1 (mizu-kussei 1)	2	17368265	17368698
245114_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41630	TFIIB (TRANSCRIPTION FACTOR II B); RNA polymerase II transcription factor/ protein binding / transcription regulator/ translation initiation factor/ zinc ion binding	2	17355558	17356457
245115_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41530	SFGH (S-FORMYLGLUTATHIONE HYDROLASE); S-formylglutathione hydrolase/ hydrolase, acting on ester bonds	2	17323692	17324538
245116_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41620	nucleoporin interacting component family protein	2	17350596	17351273
245117_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41560	ACA4 (AUTO-INHIBITED CA(2+)-ATPASE, ISOFORM 4); calcium-transporting ATPase/ calmodulin binding	2	17332298	17332868
245118_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41680	NTRC (NADPH-DEPENDENT THIOREDOXIN REDUCTASE C); thioredoxin-disulfide reductase	2	17376357	17377381
245119_at	oligonucleotide	Arabidopsis thaliana	no	AT2G41640	transferase, transferring glycosyl groups	2	17361800	17362346
245120_at	oligonucleotide	Arabidopsis thaliana	no	AT2G39810	HOS1; ubiquitin-protein ligase	2	16616986	16617767
245121_at	oligonucleotide	Arabidopsis thaliana	no	AT2G47610	60S ribosomal protein L7A (RPL7aA)	2	19530512	19531122
245122_at	oligonucleotide	Arabidopsis thaliana	no	AT2G47420	dimethyladenosine transferase, putative	2	19458179	19458537
245123_at	oligonucleotide	Arabidopsis thaliana	no	AT2G47450	CAO (CHAOS); chromatin binding	2	19473307	19473882
245124_at	oligonucleotide	Arabidopsis thaliana	no	AT2G47580	U1A (SPLICEOSOMAL PROTEIN U1A); RNA binding / nucleic acid binding / nucleotide binding	2	19517560	19518681
245125_at	oligonucleotide	Arabidopsis thaliana	no	AT2G47430	CKI1 (CYTOKININ-INDEPENDENT 1); protein histidine kinase/ two-component response regulator	2	19459226	19459829
245126_at	oligonucleotide	Arabidopsis thaliana	no	AT2G47460	MYB12 (MYB DOMAIN PROTEIN 12); DNA binding / transcription activator/ transcription factor	2	19478660	19479235
245127_at	oligonucleotide	Arabidopsis thaliana	no	AT2G47600	ATMHX (ARABIDOPSIS THALIANA MAGNESIUM/PROTON EXCHANGER); calcium:sodium antiporter/ cation:cation antiporter	2	19524556	19525269
245128_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45380	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: inflorescence meristem, flower, cultured cell; EXPRESSED DURING: petal differentiation and expansion stage; BEST Arabidopsis thaliana protein match is: calcium ion binding (TAIR:AT4G34070.1); Has 72 Blast hits to 71 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 15; Fungi - 0; Plants - 50; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink).	2	18701558	18703052
245129_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45350	CRR4 (CHLORORESPIRATORY REDUCTION 4)	2	18694963	18695394
245130_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45340	leucine-rich repeat transmembrane protein kinase, putative	2	18693792	18694460
245131_s_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45330;AT5G23600	[AT2G45330, emb1067 (embryo defective 1067); tRNA 2'-phosphotransferase/ transferase, transferring phosphorus-containing groups];[AT5G23600, tRNA 2'phosphotransferase, putative]	[AT2G45330, 2];[AT5G23600, 5]	[AT2G45330, 18686802];[AT5G23600, 7956044]	[AT2G45330, 18687868];[AT5G23600, 7956626]
245132_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45320	unknown protein	2	18684393	18685501
245133_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45310	GAE4 (UDP-D-GLUCURONATE 4-EPIMERASE 4); binding / catalytic/ coenzyme binding / racemase and epimerase, acting on carbohydrates and derivatives	2	18683383	18683964
245134_s_at	oligonucleotide	Arabidopsis thaliana	no	AT4G38280;AT2G45250	[AT4G38280, unknown protein];[AT2G45250, unknown protein]	[AT4G38280, 4];[AT2G45250, 2]	[AT4G38280, 17942152];[AT2G45250, 18661829]	[AT4G38280, 17942542];[AT2G45250, 18662228]
245135_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45230	transposable element gene	2	18651396	18651909
245136_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45210	auxin-responsive protein-related	2	18641927	18642356
245137_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45460	forkhead-associated domain-containing protein / FHA domain-containing protein	2	18737126	18737632
245138_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45190	AFO (ABNORMAL FLORAL ORGANS); protein binding / transcription factor/ transcription regulator	2	18628458	18630459
245139_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45430	DNA-binding protein-related	2	18728234	18728797
245140_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45420	LBD18 (LOB DOMAIN-CONTAINING PROTEIN 18)	2	18718785	18720443
245141_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45400	BEN1; binding / catalytic/ coenzyme binding / oxidoreductase, acting on CH-OH group of donors	2	18704020	18705253
245142_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45270	glycoprotease M22 family protein	2	18668384	18669297
245143_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45450	ZPR1 (LITTLE ZIPPER 1); protein binding	2	18733548	18733919
245144_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45240	MAP1A (METHIONINE AMINOPEPTIDASE 1A); aminopeptidase/ metalloexopeptidase	2	18657656	18658894
245145_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45440	DHDPS2 (DIHYDRODIPICOLINATE SYNTHASE); catalytic/ dihydrodipicolinate synthase/ lyase	2	18732268	18732862
245146_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45200	GOS12 (GOLGI SNARE 12); SNARE binding	2	18637694	18639510
245147_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45280	ATRAD51C; ATP binding / damaged DNA binding / protein binding / recombinase/ single-stranded DNA binding	2	18671157	18671987
245148_at	oligonucleotide	Arabidopsis thaliana	no	AT2G45220	pectinesterase family protein	2	18644301	18644872
245149_at	oligonucleotide	Arabidopsis thaliana	no	AT2G47620	ATSWI3A (SWITCH/SUCROSE NONFERMENTING 3A); DNA binding	2	19533064	19534205
245150_at	oligonucleotide	Arabidopsis thaliana	no	AT2G47590	PHR2 (photolyase/blue-light receptor 2); DNA photolyase	2	19522723	19523701
245151_at	oligonucleotide	Arabidopsis thaliana	no	AT2G47550	pectinesterase family protein	2	19511047	19511583
245152_at	oligonucleotide	Arabidopsis thaliana	no	AT2G47490	mitochondrial substrate carrier family protein	2	19488243	19489293
245153_at	oligonucleotide	Arabidopsis thaliana	no	AT5G12450	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: sperm cell; CONTAINS InterPro DOMAIN/s: FBD-like (InterPro:IPR006566); BEST Arabidopsis thaliana protein match is: syntaxin-related family protein (TAIR:AT1G48390.1); Has 72 Blast hits to 72 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 72; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	5	4040937	4041116
245154_at	oligonucleotide	Arabidopsis thaliana	no	AT5G12460	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF604 (InterPro:IPR006740); BEST Arabidopsis thaliana protein match is: fringe-related protein (TAIR:AT2G37730.1); Has 355 Blast hits to 351 proteins in 67 species: Archae - 0; Bacteria - 0; Metazoa - 96; Fungi - 121; Plants - 131; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink).	5	4043951	4044391
245155_at	oligonucleotide	Arabidopsis thaliana	no	AT5G12470	unknown protein	5	4044972	4046491
245156_at	oligonucleotide	Arabidopsis thaliana	no	AT5G12480	CPK7 (calmodulin-domain protein kinase 7); ATP binding / calcium ion binding / calmodulin-dependent protein kinase/ kinase/ protein kinase/ protein serine/threonine kinase/ protein tyrosine kinase	5	4047884	4048653
245157_at	oligonucleotide	Arabidopsis thaliana	no	AT2G33160	glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein	2	14055648	14056207
245158_at	oligonucleotide	Arabidopsis thaliana	no	AT2G33130	RALFL18 (ralf-like 18); signal transducer	2	14046526	14046818
245159_at	oligonucleotide	Arabidopsis thaliana	no	AT2G33100	ATCSLD1; cellulose synthase/ transferase, transferring glycosyl groups	2	14036524	14037089
